"","x"
"1258",0.00278662929789429
"1259",0
"1260",0.209571470661426
"1261",5.97013675334536e-05
"1262",7.9691029239618e-05
"1263",7.31706102609369e-05
"1264",0.000265083458970721
"1265",0
"1266",0
"1267",0
"1268",0
"1269",0
"1270",0
"1271",0
"1272",0
"1273",0
"1274",0
"1275",0
"1276",0
"1277",0
"1278",0
"1279",0
"1280",0.436511717438284
"1281",0
"1282",0.374064442864207
"1283",0.999990055422224
"1284",0.0251182390016091
"1285",0.00156050508536362
"1286",0.00733394937059416
"1287",0
"1288",1.01561700421999e-05
"1289",0.000218872841638459
"1290",0
"1291",0.00279363909448383
"1292",0.257152073261138
"1293",0.000150526618117803
"1294",0
"1295",0
"1296",0
"1297",1.75309934320853e-05
"1298",0
"1299",0
"1300",0
"1301",0
"1302",0.0458407196879851
"1303",0
"1304",0
"1305",0
"1306",0.47508672613516
"1307",0.999990520004646
"1308",0.0933831223923418
"1309",2.82197734152688e-05
"1310",7.85893890043248e-05
"1311",0.000120485480433625
"1312",0.527805024518182
"1313",0
"1314",0
"1315",0.000427602738094275
"1316",6.56954273113606e-05
"1317",0.00376767554605277
"1318",0.000105101276933164
"1319",0.00844605200154244
"1320",0.000557897246218531
"1321",0.000103283048693334
"1322",0
"1323",0
"1324",0
"1325",0
"1326",0
"1327",0.000265612308538892
"1328",3.60099901795497e-05
"1329",0
"1330",0
"1331",0
"1332",0
"1333",0
"1334",0
"1335",0
"1336",0
"1337",0
"1338",0
"1339",0
"1340",0
"1341",0
"1342",0
"1343",0
"1344",0
"1345",0
"1346",0
"1347",0.0418956381980605
"1348",0.00111510923976702
"1349",0
"1350",1.85324644720976e-05
"1351",0
"1352",0
"1353",0.144059286137989
"1354",0.0607027864168417
"1355",8.72984175442457e-05
"1356",0.0214557193814799
"1357",0.0777744430161729
"1358",0
"1359",0.00107450555030823
"1360",0.0158612260965518
"1361",0
"1362",0
"1363",0
"1364",0
"1365",0
"1366",0
"1367",0
"1368",0
"1369",0
"1370",0
"1371",0
"1372",0
"1373",0
"1374",0
"1375",0
"1376",0
"1377",0
"1378",0
"1379",0
"1380",0
"1381",0
"1382",0.00159477646138892
"1383",0.00012168708417599
"1384",0
"1385",0.0249138373101733
"1386",0.00147079028731103
"1387",0.000550069903552097
"1388",0.000100319980606088
"1389",0.00427439291055856
"1390",0
"1391",0
"1392",0
"1393",0.900865206778931
"1394",0.00302483192209812
"1395",0
"1396",0
"1397",0.0191246635364801
"1398",0.783271814014762
"1399",0.999656636892889
"1400",0.0080026117383305
"1401",0.00516982177229469
"1402",0.000305190062927719
"1403",2.57920952911656e-05
"1404",0
"1405",0
"1406",0.0114459080467657
"1407",0.000328304686912397
"1408",0.000350160160838506
"1409",4.32129489551706e-05
"1410",0.432501778317368
"1411",0.00579259363364919
"1412",7.25180910394495e-05
"1413",0
"1414",0
"1415",0
"1416",0.590743040514726
"1417",0.0767316156778754
"1418",0.464676158755956
"1419",2.46009021810392e-05
"1420",0.000367725270981869
"1421",0.76331236745042
"1422",0
"1423",0
"1424",0
"1425",0
"1426",3.98630786163959e-05
"1427",5.39522450012961e-05
"1428",0.999990969029616
"1429",1.29705812746395e-05
"1430",0.885683453977571
"1431",3.47963610482268e-05
"1432",2.12032124574746e-05
"1433",3.4079645175595e-05
"1434",0.000204349103051591
"1435",0
"1436",0
"1437",0
"1438",0.0229288830853733
"1439",0.00728426931428437
"1440",0.000467391515429374
"1441",0
"1442",0
"1443",8.66952949473344e-05
"1444",0.196712290223566
"1445",0.00102382366249468
"1446",0.000525358161797322
"1447",6.67083860612204e-05
"1448",0.000304682664116604
"1449",0.000521617356233857
"1450",0.173544613943002
"1451",0
"1452",0.000672995192769013
"1453",0.000103581596759523
"1454",1.21029420889083e-05
"1455",9.26926346248025e-05
"1456",0.0442698218025419
"1457",0.00522595664464861
"1458",0
"1459",0.0305975387022974
"1460",0
"1461",0.0175154423893372
"1462",0
"1463",0.999991093604995
"1464",0.000646870595672934
"1465",0
"1466",0.000893229680765585
"1467",0
"1468",0
"1469",0
"1470",0.0366988429519737
"1471",0
"1472",1.11822421029686e-05
"1473",0
"1474",0
"1475",0
"1476",0
"1477",0
"1478",0
"1479",0
"1480",0
"1481",0
"1482",0
"1483",0
"1484",0
"1485",0
"1486",0
"1487",0
"1488",0
"1489",0
"1490",0
"1491",0
